Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,24.1%,135.56%,305.04%
,ebitda margin growth,59.28%,-0.5%,4.49%,11.77%
,net income growth,66.37%,15.89%,8%,31%
,revenue growth,15.17%,21.85%,13%,21%
,roce,75.48%,9.43%,-3.21%,15.42%
,roe,66.33%,-3.96%,10.89%,-24.8%
