Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,5791,6085,6339,6728,7006,7265,7108,7151,7216,7360,7947,7862
Expenses,1661,1814,1917,2048,2149,2349,2265,2506,2519,2595,3017,2665
Financing Profit,586,511,486,468,463,346,386,105,267,365,528,659
Financing Margin %,10,8,8,7,7,5,5,1,4,5,7,8
Other Income,757,908,810,936,1010,931,1047,1164,1105,1143,1186,1082
Interest,3544,3760,3936,4212,4393,4570,4456,4540,4429,4401,4402,4538
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,1343,1420,1296,1404,1473,1277,1434,1270,1373,1507,1714,1741
Tax %,26,25,25,26,25,26,23,25,26,25,19,25
Net Profit,1007,1067,996,1047,1115,951,1120,951,1023,1125,1392,1302
EPS in Rs,4.23,4.26,3.99,4.2,4.47,3.85,4.44,3.74,4.03,4.44,5.44,5.09
Gross NPA %,2.27,2.28,2.11,—,—,—,—,—,—,—,—,—
Net NPA %,0.68,0.68,0.63,—,—,—,—,—,—,—,—,—
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,9915,11635,13590,14314,14382,17812,23565,28106,29674,30385,,
Expenses,3331,3572,4608,5527,5758,5828,6792,8523,10332,10796,,
Financing Profit,358,747,304,352,664,2009,2278,1952,1571,1819,,
Financing Margin %,4,6,2,2,5,11,10,7,5,6,,
Other Income,1160,1335,1882,1972,2121,2436,3216,3924,4598,4515,,
Interest,6226,7316,8678,8435,7959,9975,14495,17631,17772,17770,,
Depreciation,125,122,126,115,139,182,234,288,306,0,,
Profit before tax,1393,1960,2060,2209,2646,4263,5261,5588,5863,6335,,
Tax %,35,35,25,25,26,26,25,25,24,—,,
Net Profit,935,1318,1590,1680,1996,3210,3964,4234,4491,4843,,
EPS in Rs,4.74,6.63,7.93,8.34,9.37,14.95,15.93,16.93,17.63,19,,
Dividend Payout %,21,21,0,8,19,7,8,7,7,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,345,394,397,399,399,421,423,487,491,493,,
Reserves,8607,11880,13101,14424,16105,18835,21699,29618,34047,39550,,
Borrowing,6345,12329,8706,12528,12271,19587,25862,25160,32596,33193,,
Deposits,97662,111970,134879,152252,172186,181678,212988,252455,283484,313491,,
Other Liabilities,2527,2640,3469,3751,4006,5721,7031,10119,9534,15354,,
Total Liabilities,115486,139214,160552,183353,204967,226241,268004,317839,360152,402081,,
Fixed Assets,477,452,462,477,504,643,890,996,1456,1420,,
CWIP,15,10,18,28,13,29,81,67,72,108,,
Investments,27912,30595,31676,35715,36732,39065,48702,61043,66058,76471,,
Other Assets,87081,108158,128397,147133,167717,186504,218330,255733,292567,324081,,
Total Assets,115486,139214,160552,183353,204967,226241,268004,317839,360152,402081,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,3431,-5051,7873,3731,11179,-7774,489,6431,8801,4349,,
Cash from Investing Activity,-2384,-1579,-3378,-4688,-3913,901,-9860,-8912,-3799,-11118,,
Cash from Financing Activity,985,8371,-3637,3661,-208,8193,6038,3871,7401,2069,,
Net Cash Flow,2032,1741,858,2704,7058,1320,-3332,1390,12403,-4700,,
Free Cash Flow,3338,-5145,7750,3585,11053,-8062,8,6114,8050,4063,,
CFO/OP,64,-66,107,49,134,-80,14,46,52,29,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,10,9,10,11,11,11,15,15,13,12,,
