Item,Metric,QoQ,1Y,3Y
,cash flow growth,—,69.4%,95.52%
,ebitda margin growth,-7.99%,-2.66%,8.44%
,net income growth,-9.16%,2.94%,41.13%
,revenue growth,2.65%,14.77%,11.1%
,roce,-10.66%,-14.64%,-2.86%
,roe,-9.16%,-12.46%,18.89%
