Item,Metric,QoQ,1Y,3Y
,cash flow growth,—,58.65%,106.27%
,ebitda margin growth,-5.74%,6.94%,11.79%
,net income growth,-7.74%,66.44%,43%
,revenue growth,-0.05%,52.68%,48%
,roce,-6.42%,18.94%,-158.14%
,roe,-7.72%,18.88%,11.09%
