Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,30.38%,8.78%,39.21%
,ebitda margin growth,7.46%,2.51%,8.28%,29.55%
,net income growth,8.51%,9.73%,18%,17%
,revenue growth,5.83%,7.97%,9%,10%
,roce,—,-0.52%,-1.09%,40.23%
,roe,—,-2.69%,32.8%,14.8%
