Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,40.81%,127%,10.16%
,ebitda margin growth,16.62%,-3.5%,-0.74%,8.54%
,net income growth,12.08%,0.56%,23%,1%
,revenue growth,5.66%,5.56%,11%,6%
,roce,16.41%,-13.72%,-4.43%,13.3%
,roe,12.07%,-13.31%,10.18%,-14.11%
