Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-18.14%,-33.04%,71.34%
,ebitda margin growth,2.61%,17.82%,-0.8%,2.91%
,net income growth,-8.47%,0.31%,18%,11%
,revenue growth,4.72%,-1.99%,3%,8%
,roce,2.8%,-5.05%,-30.8%,21.24%
,roe,-8.49%,-15.21%,15.98%,-29.81%
