Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,10.08%,—,-7.67%
,ebitda margin growth,-40.26%,4.32%,14.46%,34.78%
,net income growth,-72.61%,52.7%,163%,45%
,revenue growth,-30.77%,53.2%,41%,38%
,roce,-45.98%,11.8%,36.71%,44.21%
,roe,-72.61%,-1.47%,28.07%,615.85%
