Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3461,3578,3688,3816,4058,4146,4081,4880,4378,4566,4648,5522
Expenses,3296,3191,3502,3391,3912,3861,4089,4292,4303,4395,4500,4773
Operating Profit,165,387,186,425,147,285,-7,588,75,172,148,749
OPM %,4.8,11,5,11,3.6,7,-0.2,12,1.7,3.8,3.2,14
Other Income,2,1,3,1,2,2,6,0,3,2,4,-8
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,167,388,190,426,149,287,-1,588,78,173,151,742
Tax %,25,25,25,25,25,25,-159,25,29,26,26,26
Net Profit,125,290,142,319,111,215,1,438,55,128,111,550
EPS in Rs,2.15,4.95,2.43,5.45,1.89,3.66,0.01,7.45,0.93,2.18,1.89,9.34
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2888,3775,4987,5050,10602,12096,14021,16101,17825,19114,,
Expenses,2673,3565,4544,6447,11962,11223,12840,15180,17001,17971,,
Operating Profit,215,210,443,-1397,-1360,873,1182,921,824,1143,,
OPM %,7,6,9,-28,-13,7,8,6,4.6,6,,
Other Income,0,0,0,-3,7,5,6,12,9,1,,
Interest,20,0,0,0,0,0,0,0,0,0,,
Depreciation,23,28,29,46,43,52,59,71,79,0,,
Profit before tax,171,182,413,-1446,-1397,826,1129,861,754,1144,,
Tax %,1,30,35,-25,-25,25,25,25,26,—,,
Net Profit,170,128,268,-1086,-1041,619,845,646,557,844,,
EPS in Rs,3.73,2.81,5.46,-19.81,-18.08,10.63,14.44,10.99,9.47,14.34,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,456,456,456,491,548,576,582,585,588,588,,
Reserves,334,504,773,1153,2947,4045,4862,5799,6471,6987,,
Borrowings,0,250,250,250,250,720,470,470,470,470,,
Other Liabilities,1423,2138,3394,4233,6756,8174,9313,10914,13255,16019,,
Total Liabilities,2213,3347,4872,6127,10501,13514,15226,17768,20785,24064,,
Fixed Assets,77,92,85,90,183,113,217,159,357,404,,
CWIP,7,5,13,12,19,4,10,16,24,9,,
Investments,1428,2165,3030,4290,6733,11373,13276,15491,17703,19780,,
Other Assets,700,1085,1744,1735,3565,2024,1723,2102,2701,3871,,
Total Assets,2213,3347,4872,6127,10501,13514,15226,17768,20785,24064,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,321,557,776,647,890,56,1276,1310,1379,1873,,
Cash from Investing Activity,-497,-663,-731,-1006,-2418,-3786,-1097,-1177,-1151,-1067,,
Cash from Financing Activity,310,249,333,122,2613,2509,-268,23,-4,-31,,
Net Cash Flow,134,143,379,-237,1086,-1221,-89,156,224,775,,
Free Cash Flow,283,521,746,614,844,-7,1229,1187,1297,1797,,
CFO/OP,228,260,397,168,-70,-4,145,119,170,250,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,0,0,0,0,0,0,0,0,0,0,,
Cash Conversion Cycle,0,0,0,0,0,0,0,0,0,0,,
Working Capital Days,-191,-196,-260,-238,-397,-258,-255,-249,-261,-286,,
ROCE %,21,19,14,25,-51,-31,15,18,12,10,,
