Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,8.02%,24.97%,67.1%
,ebitda margin growth,-11.18%,3.27%,-5.21%,9.16%
,net income growth,-25.37%,13.63%,31%,26%
,revenue growth,3.54%,6.93%,6%,8%
,roce,-10.81%,-6.34%,-6.64%,26.06%
,roe,-25.38%,-7.5%,26.6%,118.82%
