Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2941,3315,3606,3612,3634,3756,4139,4419,4467,4421,5240,5455
Expenses,2634,2908,3165,3124,3225,3301,3624,3839,3928,3934,4513,4690
Operating Profit,307,407,442,488,409,456,515,580,539,487,727,765
OPM %,10,12,12,14,11,12,12,13,12,11,14,14
Other Income,38,40,51,51,72,51,54,54,69,52,29,47
Interest,35,40,22,29,30,41,44,40,50,51,51,78
Depreciation,177,182,139,136,144,203,229,205,211,218,249,265
Profit before tax,133,226,332,374,307,263,297,389,347,270,456,469
Tax %,-261,44,34,26,30,25,26,25,25,27,32,25
Net Profit,482,126,220,276,216,197,220,291,260,198,312,351
EPS in Rs,18.98,4.99,7.76,9.89,7.72,7.08,7.84,10.47,9.38,7.07,11.43,12.36
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3747,4606,4376,6297,10394,12658,13195,15159,18552,19584,,
Expenses,3034,3656,3710,4903,7793,11159,11625,13293,16219,17066,,
Operating Profit,714,950,666,1394,2601,1499,1570,1866,2333,2519,,
OPM %,19,21,15,22,25,12,12,12,13,13,,
Other Income,68,73,12,24,59,105,159,231,204,197,,
Interest,49,64,86,62,23,93,133,144,192,231,,
Depreciation,215,195,297,300,272,474,656,711,882,942,,
Profit before tax,517,764,295,1055,2364,1037,940,1241,1462,1543,,
Tax %,-2,17,-15,20,27,19,-9,27,28,—,,
Net Profit,528,637,340,844,1724,843,1029,909,1060,1120,,
EPS in Rs,90.83,25.86,14.56,36.1,67.61,33.43,37.07,32.53,38.34,40.24,,
Dividend Payout %,0,0,0,14,7,5,12,14,12,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,47,234,234,234,255,255,278,278,278,,,
Reserves,1807,2256,2593,3400,5580,7021,9369,10275,11245,,,
Borrowings,568,729,1114,796,543,1172,597,789,1005,,,
Other Liabilities,1049,834,1121,990,2047,3147,4150,4977,7538,,,
Total Liabilities,3471,4052,5062,5420,8425,11595,14393,16320,20066,,,
Fixed Assets,1747,1774,2012,1802,2455,3311,3995,6357,8134,,,
CWIP,91,358,235,506,768,2769,3764,2708,2792,,,
Investments,195,274,144,282,1036,1474,2262,2118,1582,,,
Other Assets,1437,1647,2670,2829,4166,4041,4372,5137,7558,,,
Total Assets,3471,4052,5062,5420,8425,11595,14393,16320,20066,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,247,457,-91,1056,1561,1518,1794,1713,2024,,,
Cash from Investing Activity,-118,-567,-420,-499,-1800,-1944,-2762,-1654,-1939,,,
Cash from Financing Activity,-162,112,531,-423,167,424,916,-36,-50,,,
Net Cash Flow,-33,2,20,134,-72,-1,-51,24,34,,,
Free Cash Flow,144,-32,-655,695,621,-386,-93,-435,-614,,,
CFO/OP,51,66,-5,89,82,117,126,94,101,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,36,17,13,31,13,18,20,19,18,,,
Inventory Days,86,96,203,98,119,90,84,100,123,,,
Days Payable,69,41,79,35,69,63,91,97,133,,,
Cash Conversion Cycle,53,72,136,94,63,45,12,22,8,,,
Working Capital Days,30,36,65,45,53,-1,3,1,-11,,,
ROCE %,—,28,11,27,44,15,11,12,13,,,
