Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-50.9%,-32.5%,69.47%
,ebitda margin growth,-12.09%,-17.21%,-17.52%,-15.42%
,net income growth,-31.12%,-74.2%,-15%,-12%
,revenue growth,-4.2%,4.85%,15%,19%
,roce,-28.85%,-53.67%,-52.77%,4.93%
,roe,-31.12%,-80.43%,3.77%,-87.61%
