Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,64.1%,365.34%,—
,ebitda margin growth,-4.44%,23.35%,49.88%,7.15%
,net income growth,-11.33%,87.53%,39%,36%
,revenue growth,8.59%,26.61%,33%,40%
,roce,-5.65%,-0.07%,33.84%,14.3%
,roe,-11.36%,11.57%,9.6%,-13.96%
