Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,12.25%,54.74%,—
,ebitda margin growth,-16.3%,-0.64%,3.99%,92.43%
,net income growth,-47.18%,352.63%,60%,46%
,revenue growth,-8.72%,60.33%,35%,58%
,roce,-21.27%,35.87%,36.54%,10.39%
,roe,-47.16%,272.86%,12.39%,-412.16%
