Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-24.11%,-32.49%,53.95%
,ebitda margin growth,189.84%,-25.14%,-24.96%,-0.72%
,net income growth,—,-44.61%,97%,24%
,revenue growth,22.82%,1.47%,-1%,11%
,roce,438.96%,-32.01%,-37.53%,7.78%
,roe,—,-46.53%,6.36%,243.69%
