Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1373,1545,1537,1402,1406,1384,1425,1506,1487,1695,1743,1800
Expenses,1049,1189,1179,1137,1109,1024,1077,1138,1173,1260,1230,1311
Operating Profit,324,356,359,264,297,360,348,368,314,435,513,489
OPM %,24,23,23,19,21,26,24,24,21,26,29,27
Other Income,53,37,42,51,60,58,44,58,84,39,111,61
Interest,6,5,10,6,6,23,7,12,8,4,10,4
Depreciation,81,105,93,92,94,96,96,101,106,108,109,111
Profit before tax,290,283,298,218,257,299,288,313,284,362,506,435
Tax %,33,32,35,34,36,32,35,31,35,28,28,27
Net Profit,194,192,192,144,164,205,187,215,184,261,367,317
EPS in Rs,11.78,11.65,11.68,8.73,9.93,12.42,11.32,13.08,11.15,15.87,22.26,19.21
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,2633,3463,4401,3625,5665,5616,6431,6725,,,,
Expenses,1678,2161,2890,2600,4332,4348,4801,4974,,,,
Operating Profit,955,1302,1510,1025,1333,1269,1630,1751,,,,
OPM %,36,38,34,28,24,23,25,26,,,,
Other Income,139,135,224,184,170,214,292,296,,,,
Interest,7,3,5,7,26,42,33,26,,,,
Depreciation,95,99,110,147,345,378,424,434,,,,
Profit before tax,993,1335,1619,1055,1133,1063,1465,1587,,,,
Tax %,22,25,25,26,32,34,30,—,,,,
Net Profit,773,997,1212,781,772,699,1027,1129,,,,
EPS in Rs,49.88,60.94,73.75,47.42,46.9,42.4,62.35,68.49,,,,
Dividend Payout %,0,0,0,0,43,42,32,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,16,16,16,16,16,16,16,,,,,
Reserves,3631,5887,7141,7942,8707,9134,10341,,,,,
Borrowings,5,5,5,4,372,314,284,,,,,
Other Liabilities,435,588,671,814,1515,1708,1807,,,,,
Total Liabilities,4086,6496,7834,8778,10611,11173,12449,,,,,
Fixed Assets,968,954,1502,1571,3947,4147,4492,,,,,
CWIP,188,338,191,177,238,151,342,,,,,
Investments,0,0,155,0,0,0,0,,,,,
Other Assets,2929,5204,5986,7030,6426,6875,7614,,,,,
Total Assets,4086,6496,7834,8778,10611,11173,12449,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,701,605,791,364,997,915,1031,,,,,
Cash from Investing Activity,-761,-1520,-999,1211,-1749,1718,188,,,,,
Cash from Financing Activity,-7,1238,35,15,-799,-433,-417,,,,,
Net Cash Flow,-67,323,-174,1590,-1552,2199,803,,,,,
Free Cash Flow,530,377,269,141,599,521,538,,,,,
CFO/OP,99,70,79,66,98,100,91,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,83,71,99,88,100,99,107,,,,,
Inventory Days,250,312,205,421,278,294,284,,,,,
Days Payable,82,97,80,127,129,143,136,,,,,
Cash Conversion Cycle,251,286,225,382,250,250,255,,,,,
Working Capital Days,161,169,168,242,155,173,145,,,,,
ROCE %,—,28,25,15,14,12,15,,,,,
