Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,33.67%,48.72%,68.38%
,ebitda margin growth,8.38%,6.35%,19.57%,1.5%
,net income growth,10.72%,33.06%,32%,76%
,revenue growth,6.7%,15.58%,15%,19%
,roce,9.35%,27.43%,30.71%,16.45%
,roe,10.72%,15.47%,16.75%,7.67%
