Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,4492,4665,5189,5536,5500,5479,5434,5476,5354,5431,5428,5631
Expenses,2036,2099,3496,2115,2294,3281,3144,2962,2977,3089,2802,2849
Financing Profit,407,426,-637,890,640,-466,-388,-204,-389,-401,-7,72
Financing Margin %,9,9,-12,16,12,-9,-7,-4,-7,-7,0,1
Other Income,540,545,701,528,609,1112,700,726,546,691,771,604
Interest,2049,2140,2330,2531,2566,2664,2678,2718,2765,2743,2633,2710
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,947,971,64,1418,1249,645,311,521,158,290,764,676
Tax %,24,25,15,25,25,34,-2,29,29,29,30,26
Net Profit,721,733,55,1063,937,426,318,372,112,206,534,502
EPS in Rs,4.48,4.55,0.34,6.6,5.82,2.65,1.97,2.31,0.69,1.28,3.32,3.11
Gross NPA %,7.32,7.02,3.84,4.23,4.68,4.68,4.71,4.96,5.02,3.33,3.27,3.15
Net NPA %,2.32,2.21,1.11,1.15,1.29,1.28,1.28,1.36,1.37,0.99,0.97,0.93
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,4802,6643,10885,12524,13871,15905,18870,21948,21689,21844,,
Expenses,1597,2467,3739,6534,11298,8693,9310,10555,11526,11717,,
Financing Profit,1436,2028,2584,1029,-2584,567,1009,936,-696,-724,,
Financing Margin %,30,31,24,8,-19,4,5,4,-3,-3,,
Other Income,706,1063,1549,2022,2823,2469,2171,2967,2734,2612,,
Interest,1770,2148,4562,4961,5157,6645,8551,10458,10859,10851,,
Depreciation,86,78,80,103,110,143,238,279,304,0,,
Profit before tax,2056,3013,4053,2949,129,2893,2943,3623,1734,1888,,
Tax %,35,35,25,25,2,24,24,24,29,—,,
Net Profit,1346,1952,3024,2205,126,2195,2230,2745,1224,1353,,
EPS in Rs,11.28,16.36,18.78,13.69,0.78,13.62,13.84,17.04,7.6,8.4,,
Dividend Payout %,9,18,0,7,0,11,11,9,20,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1095,1193,1193,1610,1611,1611,1611,1611,1611,1611,,
Reserves,3351,8189,10009,13585,15798,15770,17973,19999,22994,23964,,
Borrowing,1029,285,521,16379,16960,19921,24711,16372,11138,14303,,
Deposits,23229,33869,43232,57082,77972,96331,108065,135202,151212,166344,,
Other Liabilities,1532,774,1487,3062,2675,5234,3677,4659,4520,4902,,
Total Liabilities,30236,44310,56442,91718,115016,138867,156037,177842,191476,211124,,
Fixed Assets,252,238,222,347,432,415,509,959,855,931,,
CWIP,0,0,109,22,55,173,346,214,325,470,,
Investments,5516,8372,10037,15352,25155,29079,32366,29288,40712,38668,,
Other Assets,24468,35700,46073,75997,89374,109200,122817,147381,149584,171054,,
Total Assets,30236,44310,56442,91718,115016,138867,156037,177842,191476,211124,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,8885,-2599,2695,6583,-909,902,-4245,14808,2752,1143,,
Cash from Investing Activity,-2671,-2237,-2373,-4187,-1804,-612,-1618,1691,-3879,317,,
Cash from Financing Activity,-2023,2846,105,154,588,2803,4791,-8579,-5475,2923,,
Net Cash Flow,4192,-1989,427,2550,-2125,3093,-1071,7921,-6601,4382,,
Free Cash Flow,8803,-2671,2524,6481,-1129,691,-4654,14252,2466,616,,
CFO/OP,330,-56,91,108,3,62,-49,167,29,18,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,29,19,19,23,14,1,12,11,12,5,,
