Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1347,1429,1611,1685,1716,1973,2167,2154,2082,2548,3053,3668
Expenses,1012,1074,1257,1235,1271,1447,1629,1620,1530,1840,2227,2653
Operating Profit,335,355,354,449,445,527,537,535,552,708,826,1015
OPM %,25,25,22,27,26,27,25,25,26,28,27,28
Other Income,8,11,20,26,36,10,7,29,29,25,46,17
Interest,25,28,32,27,30,31,29,27,31,34,41,41
Depreciation,34,39,37,40,44,47,50,56,61,63,71,80
Profit before tax,285,299,305,408,407,459,464,481,490,636,759,911
Tax %,27,26,21,26,25,26,25,27,26,27,27,27
Net Profit,209,222,243,301,304,338,346,353,361,467,556,666
EPS in Rs,22.12,22.47,25.98,31.66,31.59,34.8,35.61,37.43,38.12,49.31,60.52,72.11
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1916,2462,2237,2516,3948,6918,6070,7540,9838,11351,,
Expenses,1505,1960,1803,2001,3199,5582,4588,5514,7120,8250,,
Operating Profit,412,502,434,515,748,1336,1482,2026,2717,3101,,
OPM %,21,20,19,20,19,19,24,27,28,27,,
Other Income,12,9,41,21,19,-16,-68,10,33,117,,
Interest,33,50,55,45,50,90,109,116,134,148,,
Depreciation,51,59,85,94,109,128,143,182,251,275,,
Profit before tax,340,402,336,397,607,1102,1161,1739,2365,2796,,
Tax %,31,31,17,27,25,26,25,26,27,—,,
Net Profit,234,277,279,288,455,811,875,1288,1737,2050,,
EPS in Rs,24.37,28.91,29.55,30.54,48.77,83.68,92.38,133.65,185.38,220.06,,
Dividend Payout %,25,24,20,20,15,10,9,7,6,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,18,18,18,18,18,18,18,18,18,18,,
Reserves,910,1066,1220,1362,1561,1896,2592,3288,4395,6259,,
Borrowings,501,518,603,708,808,888,1195,1138,975,1524,,
Other Liabilities,292,387,411,393,572,827,1104,1134,2754,2931,,
Total Liabilities,1722,1988,2253,2481,2959,3629,4909,5577,8142,10733,,
Fixed Assets,777,923,1043,1209,1288,1493,1702,2028,2729,4006,,
CWIP,91,107,178,165,293,230,282,490,707,731,,
Investments,53,17,33,2,1,18,99,370,676,183,,
Other Assets,801,940,1000,1105,1378,1888,2826,2690,4030,5813,,
Total Assets,1722,1988,2253,2481,2959,3629,4909,5577,8142,10733,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,118,254,314,325,357,298,656,1406,2468,621,,
Cash from Investing Activity,-170,-174,-254,-260,-253,-338,-614,-1022,-1660,-951,,
Cash from Financing Activity,53,-53,-52,-34,-26,-45,118,-370,-476,209,,
Net Cash Flow,0,27,9,32,77,-85,160,14,331,-121,,
Free Cash Flow,-56,31,64,87,96,17,183,858,1466,-1072,,
CFO/OP,55,83,88,100,90,61,68,115,142,47,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,74,69,59,60,66,50,44,51,60,69,,
Inventory Days,73,80,74,99,119,113,92,97,95,130,,
Days Payable,36,49,43,46,78,73,41,37,45,47,,
Cash Conversion Cycle,111,100,90,113,108,90,95,111,110,152,,
Working Capital Days,27,32,17,21,33,41,31,39,37,74,,
ROCE %,22,24,26,19,19,25,36,32,38,38,,
