Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,43.5%,40.55%,64.98%
,ebitda margin growth,-9.54%,13.9%,4%,-12.77%
,net income growth,-13.21%,35.58%,17%,8%
,revenue growth,-4.28%,16.15%,12%,15%
,roce,-11.96%,31.35%,-15.36%,12.35%
,roe,-13.21%,24.24%,9.98%,-28.67%
