Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,44.83%,98.33%,134.03%
,ebitda margin growth,21.87%,20.21%,10.8%,2.64%
,net income growth,-20.19%,73.79%,33%,29%
,revenue growth,24.19%,34.63%,27%,29%
,roce,18.6%,27.74%,-28.25%,22.05%
,roe,-20.19%,49.52%,17.22%,-31.46%
