Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,9.65%,51.18%,—
,ebitda margin growth,133.11%,-14.87%,-20.9%,-40.8%
,net income growth,112.47%,-289.09%,-27%,-5%
,revenue growth,6.91%,9.4%,14%,24%
,roce,-119.64%,-203.15%,-726.96%,4.8%
,roe,-112.47%,-312.65%,-2.77%,-141.15%
