Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,29.53%,50.66%,11.11%
,ebitda margin growth,-1.47%,-5.77%,-6.9%,2.96%
,net income growth,-2.89%,-7.76%,8%,5%
,revenue growth,0.86%,-0.89%,5%,5%
,roce,—,-3.34%,17.63%,93.23%
,roe,—,-3.08%,80.2%,34.59%
