Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,16.42%,12.25%,210.74%
,ebitda margin growth,-15.51%,4.82%,8.81%,17.81%
,net income growth,-18.73%,19.6%,12%,81%
,revenue growth,-13.85%,15.87%,19%,34%
,roce,-18.28%,13.52%,-1.09%,10.54%
,roe,-18.72%,15.74%,10.33%,295.64%
