Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,144.49%,101.04%,—
,ebitda margin growth,4.48%,33.03%,63.01%,—
,net income growth,-3.52%,61.98%,140%,37%
,revenue growth,10.82%,26.75%,19%,13%
,roce,3.85%,33.49%,61.11%,13.07%
,roe,-3.52%,24.42%,18.79%,-292.63%
