Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1421,1560,2196,2022,2103,2975,3790,3132,3871,4236,5493,3829
Expenses,1196,1313,1839,1652,1809,2475,3096,2533,3150,3498,4529,3234
Operating Profit,225,248,357,370,294,500,693,599,721,738,964,595
OPM %,16,16,16,18,14,17,18,19,19,17,18,16
Other Income,-28,9,-16,23,18,28,35,33,27,23,97,33
Interest,44,14,44,45,56,70,85,103,110,114,135,134
Depreciation,51,39,44,46,54,66,93,70,75,80,93,106
Profit before tax,102,203,253,302,202,391,551,459,562,567,833,389
Tax %,0,0,0,0,0,1,-114,29,-127,21,-34,22
Net Profit,102,203,254,302,201,388,1181,324,1279,445,1114,305
EPS in Rs,0.08,0.15,0.19,0.22,0.15,0.29,0.87,0.24,0.94,0.33,0.82,0.22
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,8116,5025,2973,3346,6582,5971,6529,10890,16732,17429,,
Expenses,7140,5048,3829,2809,5682,5137,5492,9026,13707,14411,,
Operating Profit,977,-23,-856,537,900,833,1037,1863,3025,3019,,
OPM %,12,-0.5,-29,16,14,14,16,17,18,17,,
Other Income,555,92,-42,823,95,2739,-24,97,178,180,,
Interest,1581,1270,1367,996,735,421,164,255,462,493,,
Depreciation,342,342,419,258,260,260,190,259,318,354,,
Profit before tax,-391,-1543,-2684,105,0,2892,659,1447,2422,2352,,
Tax %,0,-1,0,4,41648,0,0,-43,-31,—,,
Net Profit,-384,-1537,-2692,104,-177,2887,660,2072,3163,3144,,
EPS in Rs,-0.57,-2.32,-4.01,0.1,-0.17,2.28,0.49,1.53,2.33,2.31,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1005,1064,1064,1064,1702,1843,2454,2722,2732,2745,,
Reserves,-7846,-8031,-9562,-12047,-5045,-5369,-1355,1199,3374,6719,,
Borrowings,11114,11996,11552,13210,6925,6465,1938,150,323,556,,
Other Liabilities,7887,6092,5816,4303,3019,3535,2486,3108,6531,8850,,
Total Liabilities,12160,11121,8871,6530,6601,6475,5523,7179,12960,18869,,
Fixed Assets,1665,1463,1520,1358,1166,1059,866,886,1780,2296,,
CWIP,206,353,229,122,107,20,6,20,105,190,,
Investments,670,67,20,20,23,0,0,8,43,217,,
Other Assets,9619,9237,7102,5030,5305,5396,4651,6264,11032,16166,,
Total Assets,12160,11121,8871,6530,6601,6475,5523,7179,12960,18869,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1602,-109,1267,-929,530,1302,491,80,1092,1202,,
Cash from Investing Activity,-643,-138,125,-32,-24,-19,85,-152,-749,-914,,
Cash from Financing Activity,-1249,492,-1898,969,-327,-1045,-709,132,343,-155,,
Net Cash Flow,-290,245,-506,8,180,238,-133,60,686,133,,
Free Cash Flow,1211,-764,1020,-1029,482,1226,477,-147,724,626,,
CFO/OP,67,-17,-5358,108,96,144,61,10,59,42,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,104,134,137,168,130,76,72,102,130,137,,
Inventory Days,168,216,355,400,503,186,176,210,171,152,,
Days Payable,233,180,265,253,366,155,86,165,156,172,,
Cash Conversion Cycle,39,170,227,315,266,107,162,148,145,117,,
Working Capital Days,-155,-100,-328,-1465,84,16,66,103,73,84,,
ROCE %,53,15,-8,-48,10,21,20,25,33,34,,
