Item,Dec 2024,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,100%,86.19%,86.19%,86.19%,86.19%
FIIs,0%,2.77%,2.39%,1.55%,1.64%
DIIs,0%,8.04%,8.84%,9.71%,10.02%
Government,0%,0%,0%,0%,0%
Public,0%,2.55%,2.17%,2.12%,1.8%
Others,0%,0.45%,0.41%,0.43%,0.35%
No. of Shareholders,7,65301,57736,54057,52997
