Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,753,701,700,739,809,721,743,738,782,888,965,929
Expenses,681,664,759,648,699,593,679,666,604,711,740,737
Operating Profit,72,37,-59,91,110,128,64,72,178,177,225,192
OPM %,10,5,-8,12,14,18,9,10,23,20,23,21
Other Income,24,8,10,30,9,8,15,-77,21,15,67,31
Interest,76,77,73,73,73,60,48,48,55,60,50,52
Depreciation,55,55,58,54,55,55,53,56,53,65,53,55
Profit before tax,-35,-87,-180,-6,-9,21,-22,-109,91,67,189,116
Tax %,109,-1,-2,167,78,5,105,-1,10,9,13,8
Net Profit,-73,-86,-177,-16,-16,20,-45,-108,82,61,164,107
EPS in Rs,-5.34,-5.76,-11.02,-0.91,-1.43,0.86,-1.54,-5.54,4.8,3.63,10.22,6.52
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3937,3566,2844,2708,3230,2651,2798,3012,3373,3564,,
Expenses,3935,3604,2725,2771,2932,2549,2707,2619,2721,2792,,
Operating Profit,2,-38,119,-63,298,102,91,393,652,772,,
OPM %,0.1,-1.1,4.2,-2.3,9,3.9,3.2,13,19,22,,
Other Income,-238,116,133,975,-163,-173,17,62,26,134,,
Interest,255,265,276,249,299,302,305,254,213,217,,
Depreciation,150,164,224,246,247,251,223,217,227,226,,
Profit before tax,-641,-351,-247,417,-411,-624,-420,-16,238,463,,
Tax %,4,-38,-82,-65,-32,0,12,256,16,—,,
Net Profit,-667,-217,-43,688,-279,-621,-472,-57,199,414,,
EPS in Rs,-42.3,-13.52,-4.81,47.64,-16.94,-38.8,-30.18,-2.89,13.11,25.17,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,55,55,55,55,55,72,72,77,81,81,,
Reserves,3281,2797,2619,2616,3321,3777,3282,3282,4272,4859,,
Borrowings,4160,3748,3375,3582,2674,2198,2184,2356,2021,2233,,
Other Liabilities,1486,1528,1764,1894,1696,2168,2113,1899,1726,1405,,
Total Liabilities,8982,8128,7813,8148,7746,8215,7651,7614,8100,8578,,
Fixed Assets,2773,2888,3058,3502,3343,3462,3042,2881,2736,2791,,
CWIP,1244,1433,1445,1585,1379,1342,1539,1722,2033,2379,,
Investments,563,214,0,0,0,0,0,0,422,412,,
Other Assets,4403,3593,3309,3060,3024,3411,3070,3011,2909,2996,,
Total Assets,8982,8128,7813,8148,7746,8215,7651,7614,8100,8578,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-269,68,183,649,-287,413,153,219,-22,390,,
Cash from Investing Activity,-684,635,93,-147,1471,-204,-118,-138,-780,-231,,
Cash from Financing Activity,1254,-769,-776,-680,-1171,-71,-315,334,409,-54,,
Net Cash Flow,301,-66,-500,-178,13,138,-280,415,-393,105,,
Free Cash Flow,-678,-238,127,486,-452,202,23,69,-377,76,,
CFO/OP,-1887,4697,-583,560,270,171,161,274,-13,63,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,94,89,130,159,124,104,110,81,80,64,,
Inventory Days,243,174,183,209,256,222,216,201,234,286,,
Days Payable,117,122,187,272,223,265,285,240,191,182,,
Cash Conversion Cycle,220,141,126,97,157,60,41,41,123,168,,
Working Capital Days,36,-56,-51,-171,-133,-116,-186,-163,-23,35,,
ROCE %,-1,-1,-1,-1,-3,1,0,-1,4,8,,
