Item,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,75%,75%,75%,75%,75%,75%
FIIs,8.42%,4.8%,6.16%,7.2%,7.59%,7.72%
DIIs,6.91%,9.11%,8.04%,6.71%,6.62%,6.45%
Government,0%,0%,0%,0%,0%,0%
Public,7.64%,8.07%,8.21%,8.37%,8.23%,8.24%
Others,2.03%,3.02%,2.59%,2.72%,2.55%,2.58%
No. of Shareholders,231810,231810,234969,238431,237745,239615
