Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-36.91%,-35.45%,50.54%
,ebitda margin growth,13.16%,1.58%,-8.42%,-49.98%
,net income growth,13.14%,26.68%,-9%,-5%
,revenue growth,8.43%,13.78%,8%,13%
,roce,17.94%,11.94%,-0.93%,12.83%
,roe,13.14%,19.32%,6.94%,-73.19%
