Item,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1496,1392,1781,1760,1549,2114,2775,3105,2724
Expenses,1402,1304,1691,1667,1459,1954,2577,2995,2616
Operating Profit,94,88,89,93,90,160,199,110,108
OPM %,6,6,5,5,6,8,7,3.5,4
Other Income,10,7,13,8,6,5,2,10,9
Interest,21,19,21,23,16,27,26,26,19
Depreciation,3,3,4,4,3,3,4,4,4
Profit before tax,80,72,77,75,77,135,171,89,94
Tax %,26,27,24,30,26,27,26,26,26
Net Profit,60,53,59,53,57,99,126,66,69
EPS in Rs,14.53,12.81,14.29,1.62,1.75,2.86,3.66,1.91,2.01
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,,,,
Sales,3064,4428,6429,9543,10718,,,,
Expenses,2937,4197,6058,8981,10142,,,,
Operating Profit,127,231,371,563,576,,,,
OPM %,4.2,5,6,6,5,,,,
Other Income,43,55,37,24,26,,,,
Interest,34,56,89,100,98,,,,
Depreciation,14,16,14,15,16,,,,
Profit before tax,124,215,305,471,488,,,,
Tax %,26,24,27,26,—,,,,
Net Profit,92,164,223,347,360,,,,
EPS in Rs,22.96,39.93,6.93,10.11,10.44,,,,
Dividend Payout %,0,0,0,0,—,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,,,,,
Equity Capital,40,41,65,69,,,,,
Reserves,159,328,661,1492,,,,,
Borrowings,739,914,928,1276,,,,,
Other Liabilities,178,245,182,545,,,,,
Total Liabilities,1116,1529,1836,3382,,,,,
Fixed Assets,74,79,89,114,,,,,
CWIP,0,0,3,45,,,,,
Investments,0,16,36,149,,,,,
Other Assets,1042,1433,1708,3073,,,,,
Total Assets,1116,1529,1836,3382,,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,,,,,
Cash from Operating Activity,11,33,4,-591,,,,,
Cash from Investing Activity,-9,-93,-26,-79,,,,,
Cash from Financing Activity,3,136,-35,716,,,,,
Net Cash Flow,5,76,-58,46,,,,,
Free Cash Flow,-11,8,-30,-693,,,,,
CFO/OP,34,36,21,-89,,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,,,,,
Debtor Days,30,15,7,18,,,,,
Inventory Days,45,50,42,62,,,,,
Days Payable,4,2,6,14,,,,,
Cash Conversion Cycle,71,63,43,66,,,,,
Working Capital Days,17,8,17,38,,,,,
ROCE %,—,23,27,26,,,,,
