Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,608,414,418,418,694,438,493,612,981,901,1019,2004
Expenses,66,94,98,74,140,125,155,156,293,346,414,607
Operating Profit,542,320,320,344,553,313,338,457,688,555,605,1397
OPM %,89,77,77,82,80,71,69,75,70,62,59,70
Other Income,218,67,78,62,226,70,71,67,238,36,40,0
Interest,0,0,0,0,0,0,8,99,136,212,298,418
Depreciation,5,5,5,5,6,6,6,6,8,8,8,9
Profit before tax,754,381,393,400,773,377,396,419,783,371,339,970
Tax %,11,23,21,22,11,22,20,23,11,28,20,14
Net Profit,668,294,311,313,689,295,316,325,695,269,272,830
EPS in Rs,1.05,0.46,0.49,0.49,1.08,0.46,0.5,0.51,1.09,0.42,0.43,1.26
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,,,,
---,---,---,---,---,---,,,,,,,
Sales,45,1855,2043,3521,4905,,,,,,,
Expenses,6,296,495,1208,1660,,,,,,,
Operating Profit,39,1559,1549,2312,3245,,,,,,,
OPM %,88,84,76,66,66,,,,,,,
Other Income,10,429,428,374,314,,,,,,,
Interest,0,10,8,745,1065,,,,,,,
Depreciation,0,22,23,29,33,,,,,,,
Profit before tax,49,1956,1947,1912,2462,,,,,,,
Tax %,37,18,17,18,—,,,,,,,
Net Profit,31,1605,1613,1561,2066,,,,,,,
EPS in Rs,—,2.53,2.54,2.46,3.2,,,,,,,
Dividend Payout %,0,0,20,24,—,,,,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,,,
---,---,---,---,---,,,,,,,,
Equity Capital,2,6353,6353,6353,,,,,,,,
Reserves,114118,132794,117143,127500,,,,,,,,
Borrowings,743,0,3970,21768,,,,,,,,
Other Liabilities,66,5715,6033,7845,,,,,,,,
Total Liabilities,114930,144863,133500,163467,,,,,,,,
Fixed Assets,158,172,180,326,,,,,,,,
CWIP,38,3,14,105,,,,,,,,
Investments,108141,133292,118910,133089,,,,,,,,
Other Assets,6593,11395,14395,29947,,,,,,,,
Total Assets,114930,144863,133500,163467,,,,,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,,,
---,---,---,---,---,,,,,,,,
Cash from Operating Activity,2055,-678,-10089,-15439,,,,,,,,
Cash from Investing Activity,-1110,1441,6406,-5652,,,,,,,,
Cash from Financing Activity,-889,-753,3968,21454,,,,,,,,
Net Cash Flow,56,11,285,363,,,,,,,,
Free Cash Flow,2055,-678,-10089,-15439,,,,,,,,
CFO/OP,5231,-22,-633,-656,,,,,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,,,
---,---,---,---,---,,,,,,,,
Debtor Days,113,3,3,6,,,,,,,,
Cash Conversion Cycle,113,3,3,6,,,,,,,,
Working Capital Days,3644,21,-37,-112,,,,,,,,
ROCE %,—,2,1,2,,,,,,,,
