Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1507,1789,1668,1746,1875,2267,2062,2155,2346,2873,2648,2782
Expenses,1426,1690,1575,1650,1771,2126,1928,2014,2187,2644,2425,2546
Operating Profit,81,99,93,96,104,141,133,141,159,230,223,236
OPM %,5,6,6,6,6,6,6,7,7,8,8,8
Other Income,9,8,7,7,5,6,9,9,7,-10,9,9
Interest,21,22,21,21,24,32,30,30,31,29,26,27
Depreciation,55,58,60,60,64,70,73,76,79,81,84,89
Profit before tax,13,26,20,22,21,45,40,44,55,110,122,129
Tax %,30,31,50,36,37,39,52,44,40,38,35,38
Net Profit,8,17,9,14,13,26,19,24,33,68,79,80
EPS in Rs,0.02,0.06,0.02,0.03,0.04,0.09,0.07,0.08,0.12,0.22,0.27,0.28
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,574,1111,1768,2441,3774,5144,6386,7950,10022,10649,,
Expenses,601,1091,1685,2283,3610,4887,6039,7475,9269,9802,,
Operating Profit,-27,21,83,158,164,257,347,475,753,848,,
OPM %,-4.6,1.9,4.7,6,4.3,5,5,6,8,8,,
Other Income,4,5,10,12,27,30,30,27,15,15,,
Interest,7,27,46,32,47,76,84,108,118,114,,
Depreciation,7,31,60,72,96,173,224,266,320,334,,
Profit before tax,-37,-32,-12,66,47,38,69,127,330,416,,
Tax %,-25,-23,31,7,13,35,37,42,38,—,,
Net Profit,-28,-25,-16,62,41,21,40,72,204,259,,
EPS in Rs,-3.47,-2.87,-1.9,6.82,0.14,0.07,0.11,0.23,0.7,0.89,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,14,14,15,15,47,285,286,286,286,,,
Reserves,108,216,307,475,1292,1093,977,1015,1152,,,
Borrowings,83,310,413,333,593,798,969,1321,1238,,,
Other Liabilities,148,235,390,479,714,773,1169,1358,1936,,,
Total Liabilities,353,776,1124,1302,2646,2950,3401,3980,4611,,,
Fixed Assets,34,140,227,231,483,699,668,835,1008,,,
CWIP,0,0,2,2,24,31,30,37,9,,,
Investments,10,138,4,1,0,38,34,0,0,,,
Other Assets,308,497,892,1067,2138,2182,2668,3108,3594,,,
Total Assets,353,776,1124,1302,2646,2950,3401,3980,4611,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,-79,-100,6,133,-354,-140,0,467,644,,,
Cash from Investing Activity,31,-162,15,-130,-603,140,-10,-205,-159,,,
Cash from Financing Activity,82,236,69,-38,927,5,44,-212,-433,,,
Net Cash Flow,33,-26,90,-34,-30,4,34,49,52,,,
Free Cash Flow,-106,-135,-40,91,-448,-348,-110,339,493,,,
CFO/OP,298,-478,13,92,-172,-18,38,111,103,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,45,19,20,11,9,12,14,11,11,,,
Inventory Days,114,135,160,122,150,128,119,116,109,,,
Days Payable,123,100,113,77,62,34,39,52,49,,,
Cash Conversion Cycle,35,54,68,56,97,106,94,75,71,,,
Working Capital Days,0,-16,-5,3,67,40,10,14,4,,,
ROCE %,—,-1,5,13,7,6,7,10,17,,,
