Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,14.43%,26.3%,46.48%
,ebitda margin growth,-21.69%,-5.86%,10.96%,-16.41%
,net income growth,-52.72%,-52.47%,47%,-13%
,revenue growth,-2.39%,14.46%,10%,6%
,roce,-39.53%,-44.84%,38.86%,6.8%
,roe,-52.72%,-58.24%,6.78%,-27.93%
