Item,Jun 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,100%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%
FIIs,0%,6.7%,7.17%,7.08%,7.35%,6.43%,5.42%,3.28%
DIIs,0%,7.13%,7.01%,7.76%,7.74%,8.59%,9.7%,11.69%
Government,0%,0%,0%,0%,0%,0%,0%,0%
Public,0%,3.3%,3%,2.37%,2.14%,2.21%,2.11%,2.22%
Others,0%,0.37%,0.32%,0.29%,0.27%,0.27%,0.26%,0.31%
No. of Shareholders,7,1262370,1151440,926594,815655,808360,768407,769187
