Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,10.93%,163.55%,—
,ebitda margin growth,-9.25%,-9.5%,-10.45%,-6.8%
,net income growth,-11.46%,-19.26%,-1%,21%
,revenue growth,2.71%,7.32%,8%,18%
,roce,-10.69%,-34.56%,-43.79%,23.2%
,roe,-11.47%,-26.34%,17.98%,-27.3%
