Item,Metric,QoQ,1Y,3Y
,cash flow growth,—,16.35%,47.65%
,ebitda margin growth,25.56%,-0.85%,-2.13%
,net income growth,54.56%,9.96%,45%
,revenue growth,19.8%,23.09%,156%
,roce,36.68%,-16.43%,-44.44%
,roe,54.61%,6.25%,3.59%
