Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,992,1118,1155,1118,1064,1225,1269,1160,1146,1449,1460,1370
Expenses,626,724,792,743,691,808,883,762,742,984,1061,983
Operating Profit,367,394,363,375,373,417,385,397,404,465,399,387
OPM %,37,35,31,34,35,34,30,34,35,32,27,28
Other Income,47,31,41,54,60,56,107,61,69,81,67,71
Interest,4,5,5,3,3,3,8,4,4,5,5,4
Depreciation,14,14,16,14,13,13,12,12,11,12,14,12
Profit before tax,395,406,382,412,417,457,472,442,457,529,447,441
Tax %,25,26,26,25,26,25,24,25,25,25,27,25
Net Profit,295,300,284,308,308,341,358,330,342,394,327,330
EPS in Rs,3.68,3.75,3.55,3.85,3.85,4.27,4.47,4.13,4.27,4.93,4.08,4.12
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1466,1870,2264,777,1879,3541,4260,4675,5215,5425,,
Expenses,1192,1487,1562,589,1005,2265,2794,3124,3549,3769,,
Operating Profit,274,383,703,188,874,1276,1466,1551,1666,1655,,
OPM %,19,20,31,24,47,36,34,33,32,31,,
Other Income,99,126,77,124,72,148,106,276,277,287,,
Interest,3,2,10,8,11,16,19,17,18,18,,
Depreciation,24,29,40,46,49,54,57,53,50,50,,
Profit before tax,346,479,730,258,885,1354,1496,1757,1875,1875,,
Tax %,36,36,30,27,26,26,26,25,26,—,,
Net Profit,221,309,513,187,660,1006,1111,1315,1393,1393,,
EPS in Rs,11.03,3.86,6.41,2.34,8.24,12.57,13.89,16.43,17.42,17.4,,
Dividend Payout %,21,98,39,43,42,44,47,49,52,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,40,40,160,160,160,160,160,160,160,160,,
Reserves,747,915,911,1154,1296,1710,2318,3070,3503,4148,,
Borrowings,0,0,0,0,79,105,84,60,90,81,,
Other Liabilities,1040,1365,1523,1928,1618,1909,2526,2801,3046,3190,,
Total Liabilities,1826,2319,2594,3241,3153,3884,5089,6091,6799,7579,,
Fixed Assets,170,190,182,285,311,335,351,343,813,839,,
CWIP,17,8,40,16,24,26,34,443,27,42,,
Investments,0,0,0,0,0,0,0,0,25,25,,
Other Assets,1639,2122,2372,2941,2818,3522,4704,5306,5934,6674,,
Total Assets,1826,2319,2594,3241,3153,3884,5089,6091,6799,7579,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,338,24,499,409,248,524,812,882,834,1274,,
Cash from Investing Activity,94,40,-353,8,-453,-242,-317,-215,-245,-447,,
Cash from Financing Activity,-136,-57,-179,-280,-47,-258,-434,-404,-910,-787,,
Net Cash Flow,296,7,-33,137,-252,23,61,262,-321,39,,
Free Cash Flow,306,-11,445,374,170,503,744,650,787,1197,,
CFO/OP,152,55,173,95,167,92,97,91,80,109,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,70,137,115,125,245,111,118,118,135,132,,
Inventory Days,11,11,23,26,50,27,18,16,15,—,,
Days Payable,237,218,568,451,4492,2391,1595,1483,1371,—,,
Cash Conversion Cycle,-157,-70,-430,-300,-4197,-2252,-1459,-1349,-1221,132,,
Working Capital Days,-35,-10,-65,-35,-137,-29,3,20,56,40,,
ROCE %,54,40,44,62,16,51,59,54,49,46,,
