Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-198.82%,-233.09%,-45.97%
,ebitda margin growth,-36.26%,0.97%,14.17%,8.7%
,net income growth,-62.34%,6.12%,55%,4%
,revenue growth,-21.53%,7.47%,11%,12%
,roce,-40.61%,-13.05%,-15.51%,20.06%
,roe,-62.33%,-7.87%,9.66%,7.2%
