Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,65.64%,117.13%,43.22%
,ebitda margin growth,21.12%,4.36%,14.73%,-19.01%
,net income growth,20.11%,17.21%,13%,6%
,revenue growth,5.29%,13.95%,11%,9%
,roce,22.39%,0.58%,24.25%,20.22%
,roe,20.11%,4.64%,13.92%,-39.3%
