Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,9.48%,55.43%,0.77%
,ebitda margin growth,4.5%,2.32%,24.8%,-36.54%
,net income growth,87%,41.65%,-1%,5%
,revenue growth,12.49%,12.4%,5%,10%
,roce,7.44%,0.27%,25.5%,14.58%
,roe,87.01%,28.27%,8.85%,-42.88%
