Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,10.44%,15.57%,-64.25%
,ebitda margin growth,17.4%,1.86%,2.36%,20.98%
,net income growth,20.48%,12.03%,16%,17%
,revenue growth,8.88%,13.23%,22%,20%
,roce,17.91%,-1.88%,-4.22%,10.43%
,roe,20.48%,2.05%,14.22%,11.24%
