Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,14.22%,87.55%,103.6%
,ebitda margin growth,5.16%,0.94%,-1.63%,-21.03%
,net income growth,21.36%,54.34%,8%,14%
,revenue growth,2.73%,17.22%,23%,23%
,roce,17.57%,22.06%,30.1%,15.39%
,roe,21.37%,41.1%,15.16%,-24.37%
