Item,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,81.72%,27.81%,27.38%,27.14%
FIIs,0%,3.14%,2.51%,6.89%
DIIs,0%,4.92%,5.92%,10.08%
Government,0%,0%,0%,0%
Public,0%,4.65%,4.32%,4.94%
Others,18.28%,59.48%,59.87%,50.95%
No. of Shareholders,53,771434,706903,767929
