Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,12.47%,45.57%,85.06%
,ebitda margin growth,6.62%,10.39%,23.51%,21.96%
,net income growth,0.59%,31.48%,27%,64%
,revenue growth,8.34%,16.93%,13%,18%
,roce,8.6%,23.02%,24.16%,10.2%
,roe,0.59%,18.57%,8.95%,-7.1%
