Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-16.52%,-36.27%,-59.41%
,ebitda margin growth,7.18%,-1.16%,0.5%,9.07%
,net income growth,6.89%,18.37%,27%,41%
,revenue growth,5.53%,16.7%,25%,29%
,roce,—,-4.74%,-4.2%,8.17%
,roe,—,4.89%,12.12%,7.98%
