Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,65.17%,63.91%,32.38%
,ebitda margin growth,2.16%,-1.79%,-1.25%,0.81%
,net income growth,-0.04%,25.52%,23%,29%
,revenue growth,2.97%,24.86%,26%,28%
,roce,2.19%,5.57%,9.01%,13.34%
,roe,0%,7.13%,17.43%,46.89%
