Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-8.46%,80.53%,138.89%
,ebitda margin growth,-9.41%,4.97%,17.36%,14.42%
,net income growth,-10.71%,18.64%,5%,2%
,revenue growth,-1.01%,19.84%,6%,11%
,roce,-11.36%,-11.02%,-15.85%,19.44%
,roe,-10.72%,-13.33%,12.59%,-26.65%
