Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-28.05%,-29.54%,227.04%
,ebitda margin growth,-3.68%,9.3%,8.87%,-13.35%
,net income growth,-7.85%,27.4%,15%,55%
,revenue growth,-0.31%,9.12%,6%,29%
,roce,-6.45%,4.41%,-9.82%,21.34%
,roe,-7.86%,7.09%,16.57%,-49.05%
