Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-107.19%,-109.17%,-110.48%
,ebitda margin growth,27.77%,-17.67%,-22.32%,30.13%
,net income growth,38.77%,6.26%,19%,90%
,revenue growth,13.49%,51.65%,36%,80%
,roce,33.61%,-30.67%,-49.46%,25.34%
,roe,38.7%,-18.14%,23.94%,8.32%
