Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,38938,40865,42607,44582,46326,47037,48387,49080,48181,48364,49594,52241
Expenses,24560,24929,30604,29387,32221,33510,37588,31991,35065,37154,41823,35318
Financing Profit,-3530,-3473,-8421,-5927,-8120,-9106,-12248,-6002,-8901,-10664,-14276,-6141
Financing Margin %,-9,-8,-20,-13,-18,-19,-25,-12,-18,-22,-29,-12
Other Income,18690,18615,24575,22688,26617,27589,31361,25496,27966,28418,35020,27448
Interest,17908,19409,20424,21122,22225,22633,23047,23090,22017,21874,22047,23064
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,15160,15142,16154,16761,18496,18483,19113,19494,19065,17754,20744,21307
Tax %,25,26,26,26,25,25,25,26,25,24,25,24
Net Profit,11351,11515,12200,12463,13906,13847,14354,14456,14318,13481,15681,16276
EPS in Rs,15.56,15.76,16.62,16.62,18.38,18.25,18.96,19,18.7,17.53,20.61,21.52
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,62162,71982,84836,89163,95407,121067,159516,186331,195218,198379,,
Expenses,72806,83775,85361,91309,80798,87864,99560,130078,142971,149359,,
Financing Profit,-44906,-50971,-45190,-44805,-26558,-17341,-14152,-32775,-36782,-39982,,
Financing Margin %,-72,-71,-53,-50,-28,-14,-9,-18,-19,-20,,
Other Income,56807,59325,64950,72174,62129,65112,76522,108255,116900,118852,,
Interest,34262,39178,44666,42659,41167,50543,74108,89028,89029,89002,,
Depreciation,922,946,1171,1340,1330,1515,1935,2627,3061,0,,
Profit before tax,10978,7408,18589,26028,34241,46256,60434,72854,77057,78870,,
Tax %,17,23,40,22,25,26,26,25,25,—,,
Net Profit,9100,5689,11225,20364,26538,35461,46081,54569,57936,59756,,
EPS in Rs,12,6.6,14.78,26.58,36.14,48.74,63.02,71.65,75.71,78.36,,
Dividend Payout %,12,15,0,8,14,16,16,15,16,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1165,1286,1289,1295,1383,1390,1397,1405,1425,1432,,
Reserves,103467,109344,112964,121665,156204,180663,213101,254739,312481,361628,,
Borrowing,170670,229402,210324,213852,143900,161603,189062,207428,218883,220264,,
Deposits,530204,585796,681317,800784,959940,1091366,1210832,1443580,1641637,1830020,,
Other Liabilities,180219,198453,232899,239696,312385,317616,344099,456911,467815,501153,,
Total Liabilities,985725,1124281,1238794,1377292,1573812,1752637,1958490,2364063,2642241,2914498,,
Fixed Assets,9338,9465,9660,10409,10809,10707,11070,15714,24272,27970,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,304373,372208,398201,443473,536579,567098,639552,827163,886377,870720,,
Other Assets,672013,742608,830933,923411,1026424,1174833,1307868,1521186,1731593,2015808,,
Total Assets,985725,1124281,1238794,1377292,1573812,1752637,1958490,2364063,2642241,2914498,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,52636,19383,48671,79565,138015,58111,-3771,157284,122805,67325,,
Cash from Investing Activity,-1711,-50551,-30282,-42095,-63631,-40007,-67689,-144737,-77140,-11708,,
Cash from Financing Activity,-35470,39676,-19997,2992,-54667,17451,24791,13765,5589,-4661,,
Net Cash Flow,15455,8508,-1608,40462,19718,35555,-46669,26312,51255,50957,,
Free Cash Flow,51334,18367,47570,77717,136339,56369,-5951,153676,118100,63778,,
CFO/OP,-2018,-224,-484,-15611,-6609,432,21,285,251,161,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,10,7,4,8,13,15,17,19,18,16,,
