Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-192.33%,-60.35%,-883.53%
,ebitda margin growth,8.18%,12.9%,-1.24%,-5.83%
,net income growth,14.41%,214.2%,3%,17%
,revenue growth,6.01%,30.64%,17%,18%
,roce,8.43%,29.99%,-9.26%,10.33%
,roe,14.42%,180.92%,10.71%,-36.69%
