Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,46.77%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,49.13%
FIIs,21.58%,19.83%,19.45%,17.55%,16.88%,15.61%,11.66%,12.3%,11.84%,11.55%,12.31%,11.27%
DIIs,12.75%,13.01%,12.6%,11.81%,11.42%,12.47%,14.21%,14.69%,14.79%,15.36%,14.27%,13.26%
Government,0.07%,0.14%,0.08%,0.15%,0.15%,0.17%,0.17%,0.18%,0.18%,0.18%,0.18%,0.18%
Public,13.6%,15.48%,16.67%,19.01%,19.93%,20.36%,22.39%,21.38%,21.67%,21.41%,21.67%,21.69%
Others,5.23%,4.41%,4.08%,4.35%,4.49%,4.26%,4.45%,4.33%,4.39%,4.37%,4.45%,4.46%
No. of Shareholders,3983140,4083130,4399040,4802850,4860800,4978980,5259480,5118350,5073440,4962000,4944260,4965500
