Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,12267,12828,13223,14154,14460,16839,18230,17059,17605,18603,21465,20048
Expenses,12123,12324,12866,13528,13845,16047,17781,16693,16916,18050,20941,19355
Operating Profit,144,505,357,626,615,792,448,366,688,553,524,693
OPM %,1.2,3.9,2.7,4.4,4.3,4.7,2.5,2.1,3.9,3,2.4,3.5
Other Income,11,59,104,54,56,67,62,212,-79,106,182,88
Interest,220,187,171,166,177,204,178,159,189,185,174,186
Depreciation,96,95,79,96,92,108,98,103,107,111,128,117
Profit before tax,-162,281,211,418,402,546,234,317,313,363,404,478
Tax %,-19,27,27,25,30,28,25,25,27,28,27,27
Net Profit,-131,201,157,313,311,411,191,238,245,269,293,351
EPS in Rs,-1.01,1.55,1.21,2.41,2.39,3.16,1.46,1.82,1.88,2.07,2.25,2.7
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,28797,29657,37090,54155,58185,51225,63672,74731,77720,,,
Expenses,27666,28348,35765,52418,57223,50090,61186,72600,75262,,,
Operating Profit,1131,1310,1326,1736,962,1135,2486,2131,2458,,,
OPM %,3.9,4.4,3.6,3.2,1.6,2.2,3.9,2.9,3.2,,,
Other Income,122,110,104,172,961,240,233,392,298,,,
Interest,487,569,407,541,775,749,724,707,734,,,
Depreciation,199,241,268,309,358,364,395,449,463,,,
Profit before tax,567,609,755,1059,789,262,1601,1367,1559,,,
Tax %,37,34,14,27,30,35,27,28,—,,,
Net Profit,376,461,729,804,582,148,1226,1045,1158,,,
EPS in Rs,32.86,40.32,63.74,6.18,4.48,1.14,9.43,8.04,8.9,,,
Dividend Payout %,0,0,0,0,0,0,0,12,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,114,114,114,130,130,130,130,129,,,,
Reserves,1997,2456,3185,7476,8036,8186,9294,10311,,,,
Borrowings,1829,2300,3051,2701,2396,2628,1937,1109,,,,
Other Liabilities,7662,6915,6978,11010,10417,8833,11051,13186,,,,
Total Liabilities,11603,11786,13328,21317,20979,19777,22412,24736,,,,
Fixed Assets,3027,3758,3702,4601,4793,4921,5481,7143,,,,
CWIP,570,325,531,275,324,879,1060,443,,,,
Investments,147,206,332,362,392,312,624,1082,,,,
Other Assets,7858,7497,8763,16079,15469,13665,15248,16069,,,,
Total Assets,11603,11786,13328,21317,20979,19777,22412,24736,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,1693,781,726,1198,663,289,2150,3928,,,,
Cash from Investing Activity,-934,-506,-484,-3786,524,138,-278,-1096,,,,
Cash from Financing Activity,-762,-8,-531,2658,-919,-847,-1544,-1678,,,,
Net Cash Flow,-3,267,-289,70,268,-419,328,1154,,,,
Free Cash Flow,785,151,265,663,-11,-641,1190,3104,,,,
CFO/OP,162,69,77,83,86,40,98,201,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,16,11,15,15,12,13,14,13,,,,
Inventory Days,61,57,55,58,53,58,56,45,,,,
Days Payable,101,85,60,69,59,56,56,56,,,,
Cash Conversion Cycle,-24,-17,10,4,6,15,14,1,,,,
Working Capital Days,-19,-18,-8,-12,-6,-4,9,4,,,,
ROCE %,—,27,21,19,15,10,21,18,,,,
