Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1494,1437,1439,1558,1633,1614,1605,1738,1757,1724,1710,1814
Expenses,1113,1049,1109,1167,1194,1178,1176,1293,1255,1261,1229,1291
Operating Profit,381,388,330,391,439,436,429,446,502,463,481,522
OPM %,25,27,23,25,27,27,27,26,29,27,28,29
Other Income,56,56,81,67,60,72,76,73,70,70,76,75
Interest,3,3,3,3,2,2,4,6,8,5,6,6
Depreciation,18,18,18,18,18,18,18,19,19,19,19,20
Profit before tax,415,422,390,437,479,488,483,493,546,509,531,572
Tax %,25,26,26,25,25,26,24,26,24,26,26,25
Net Profit,313,311,287,328,359,361,367,366,415,376,395,429
EPS in Rs,147.27,146.35,135.09,154.36,168.76,169.78,172.73,172.18,195.43,176.93,185.86,201.66
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3298,3679,4093,4310,4919,5349,5849,6409,6929,7004,,
Expenses,2774,3074,3336,3388,3832,4143,4396,4714,5037,5035,,
Operating Profit,525,605,757,922,1088,1206,1453,1695,1892,1969,,
OPM %,16,16,18,21,22,23,25,26,27,28,,
Other Income,117,113,114,81,77,154,248,275,288,291,,
Interest,4,2,9,18,19,16,12,11,25,25,,
Depreciation,16,17,60,58,66,70,71,72,76,76,,
Profit before tax,621,699,803,926,1080,1274,1618,1887,2079,2158,,
Tax %,35,36,26,25,26,25,26,25,25,—,,
Net Profit,401,450,593,691,799,949,1201,1414,1552,1615,,
EPS in Rs,188.82,211.93,279.04,325.04,375.87,446.8,565.3,665.64,730.39,759.88,,
Dividend Payout %,29,31,90,85,73,73,73,71,90,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,21,21,21,21,21,21,21,21,21,21,,
Reserves,1366,1672,1987,2410,2581,2799,3167,3678,4212,4753,,
Borrowings,0,0,0,175,153,152,113,83,197,172,,
Other Liabilities,679,723,932,940,1086,1253,1254,1411,1487,1556,,
Total Liabilities,2066,2416,2941,3547,3840,4224,4556,5193,5917,6502,,
Fixed Assets,110,81,105,270,251,271,237,225,336,331,,
CWIP,6,2,1,2,1,1,4,10,18,6,,
Investments,0,0,0,0,0,0,0,0,0,0,,
Other Assets,1950,2333,2835,3275,3589,3952,4315,4958,5563,6165,,
Total Assets,2066,2416,2941,3547,3840,4224,4556,5193,5917,6502,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,307,153,499,626,727,948,893,1213,1012,1319,,
Cash from Investing Activity,-155,-215,-257,-401,-72,-396,-148,-416,182,-371,,
Cash from Financing Activity,-90,-102,-143,-217,-582,-637,-639,-745,-925,-1066,,
Net Cash Flow,62,-165,99,8,73,-86,107,52,269,-118,,
Free Cash Flow,287,180,504,611,704,904,860,1165,960,1307,,
CFO/OP,117,68,125,113,104,114,102,111,86,98,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,22,29,27,28,21,21,22,20,22,19,,
Inventory Days,107,112,106,83,110,94,80,70,92,94,,
Days Payable,101,92,116,104,116,122,109,114,110,109,,
Cash Conversion Cycle,28,49,17,8,14,-6,-8,-24,3,3,,
Working Capital Days,21,63,22,10,4,-7,-8,-14,99,2,,
ROCE %,34,41,37,35,35,38,41,46,46,45,,
