Item,Dec 2025,Mar 2026,Jun 2026
Promoters,62%,62%,62%
FIIs,4.57%,5.68%,5.43%
DIIs,30.85%,29.79%,29.67%
Government,0%,0%,0%
Public,2.15%,2.09%,2.24%
Others,0.43%,0.45%,0.67%
No. of Shareholders,87477,85552,84466
