Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1091,1912,1554,2417,1436,1675,1193,2384,3651,5058,6020,7354
Expenses,805,1463,1096,1699,1025,1139,932,1589,2608,3302,3474,4573
Operating Profit,286,449,458,719,411,536,261,794,1043,1756,2545,2781
OPM %,26,24,29,30,29,32,22,33,29,35,42,38
Other Income,20,11,8,6,34,18,19,28,55,98,34,161
Interest,1,2,2,2,4,8,13,15,176,152,168,276
Depreciation,10,15,17,19,18,22,22,31,167,186,224,262
Profit before tax,295,444,448,704,424,524,245,777,756,1517,2187,2405
Tax %,22,25,38,21,29,26,17,17,25,28,30,28
Net Profit,231,332,277,557,301,389,202,642,567,1090,1530,1734
EPS in Rs,4.58,6.56,5.48,11.03,5.76,7.44,3.86,12.26,10.87,19.24,25.22,30.67
Item,Mar 2012,Mar 2013,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1007,759,370,251,692,3353,6522,6721,17113,22084,,
Expenses,979,739,349,240,546,2539,4793,4765,10907,13958,,
Operating Profit,28,21,21,11,146,814,1729,1956,6205,8126,,
OPM %,2.7,2.7,6,4.3,21,24,26,29,36,37,,
Other Income,17,16,26,20,-22,-1124,53,54,149,349,,
Interest,15,8,16,17,18,65,6,27,510,771,,
Depreciation,26,27,18,14,18,23,49,81,607,838,,
Profit before tax,4,2,13,0,88,-398,1727,1901,5237,6865,,
Tax %,0,0,-143,0,-11,-27,28,23,27,—,,
Net Profit,4,2,32,0,97,-289,1243,1455,3829,4921,,
EPS in Rs,0.17,0.09,1.41,0.01,2.64,-5.72,24.6,27.81,65.4,86,,
Dividend Payout %,0,0,0,0,19,0,4,4,2,—,,
Item,Mar 2011,Mar 2012,Mar 2013,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,22,22,22,23,25,37,50,51,52,56,,
Reserves,97,100,102,122,157,445,1478,2760,6408,13815,,
Borrowings,38,32,26,124,155,96,4,33,1073,20716,,
Other Liabilities,353,395,306,374,383,246,493,1094,1377,7063,,
Total Liabilities,510,550,457,642,720,824,2026,3938,8911,41650,,
Fixed Assets,334,317,295,374,362,400,532,1235,1691,13169,,
CWIP,4,2,4,42,85,86,298,1268,4267,13946,,
Investments,0,0,0,0,0,0,37,29,75,666,,
Other Assets,172,231,158,226,274,338,1159,1406,2878,13869,,
Total Assets,510,550,457,642,720,824,2026,3938,8911,41650,,
Item,Mar 2011,Mar 2012,Mar 2013,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,51,29,16,52,-15,-78,-516,1701,1207,2921,,
Cash from Investing Activity,-24,-5,-6,-34,-62,-57,-612,-1725,-3976,-9474,,
Cash from Financing Activity,-25,-21,-15,-6,66,149,1143,-1,2808,8633,,
Net Cash Flow,3,4,-4,12,-11,13,14,-25,39,2080,,
Free Cash Flow,12,23,10,16,-77,-136,-905,-20,-2404,-7040,,
CFO/OP,230,107,78,244,-137,-54,-63,112,87,66,,
Item,Mar 2011,Mar 2012,Mar 2013,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,11,18,18,8,10,13,3,4,9,32,,
Inventory Days,34,31,17,107,208,195,182,95,196,534,,
Days Payable,169,127,119,77,63,18,50,162,49,535,,
Cash Conversion Cycle,-124,-79,-85,37,155,189,135,-63,156,31,,
Working Capital Days,-123,-79,-95,54,130,89,16,-10,-1,-108,,
ROCE %,13,12,7,—,6,34,81,78,37,27,,
