Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,973,490,886,1412,1091,618,1442,1210,595,446,268,1448
Expenses,11,-176,-397,160,141,-9,182,56,20,95,78,139
Financing Profit,925,656,1283,1244,937,619,1243,1135,534,288,129,1251
Financing Margin %,95,134,145,88,86,100,86,94,90,64,48,86
Other Income,1,2,17,1,23,1,11,9,3,0,10,5
Interest,37,10,0,8,13,8,17,20,41,63,61,58
Depreciation,0,1,1,3,1,0,2,2,2,2,7,3
Profit before tax,926,657,1300,1242,960,620,1252,1142,535,286,132,1252
Tax %,15,8,-15,12,12,12,-41,18,-43,41,66,11
Net Profit,788,603,1498,1093,844,545,1766,941,765,168,46,1115
EPS in Rs,9.28,7.1,17.64,12.87,9.94,6.42,20.8,11.08,9,1.98,0.54,13.13
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,351,-36,-11,256,907,374,2413,4568,2528,2758,,
Expenses,342,1,3,77,52,43,-569,474,249,332,,
Financing Profit,9,-37,-15,158,826,285,2905,4049,2094,2202,,
Financing Margin %,3,105,146,62,91,76,120,89,83,80,,
Other Income,0,0,0,-1,0,3,17,31,14,18,,
Interest,1,1,2,21,30,46,76,46,185,224,,
Depreciation,0,0,0,0,0,1,3,6,13,14,,
Profit before tax,9,-37,-15,157,826,287,2919,4074,2095,2205,,
Tax %,32,0,0,14,19,16,0,-4,8,—,,
Net Profit,6,-37,-15,135,669,240,2920,4248,1919,2093,,
EPS in Rs,0.03,-0.19,-0.08,1.68,7.87,2.83,34.38,50.02,22.6,24.65,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,12,12,12,12,16,17,17,17,17,85,,
Reserves,52,58,38,408,1416,3104,2974,10246,14603,14467,,
Borrowing,2,16,9,273,503,871,970,950,876,3395,,
Other Liabilities,13,32,5,3,11,26,60,123,314,359,,
Total Liabilities,79,118,63,695,1946,4019,4021,11337,15810,18306,,
Fixed Assets,0,0,0,182,176,142,185,230,292,339,,
CWIP,0,0,0,0,0,0,0,2,6,6,,
Investments,14,17,57,330,1626,3186,3593,8941,12740,15345,,
Other Assets,65,100,6,183,144,691,243,2164,2772,2616,,
Total Assets,79,118,63,695,1946,4019,4021,11337,15810,18306,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,26,-10,-34,-169,217,262,-107,-148,-179,1011,,
Cash from Investing Activity,-13,-3,41,-722,-451,-570,81,489,221,-3417,,
Cash from Financing Activity,-12,13,-8,892,247,336,53,-403,-131,2331,,
Net Cash Flow,1,0,0,0,14,28,26,-61,-89,-75,,
Free Cash Flow,26,-10,-34,-169,217,261,-113,-150,-194,1003,,
CFO/OP,187,-83,92,1276,138,47,-12,-4,0,45,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,14,9,-63,-7,15,29,8,44,34,13,,
