Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,29.33%,45.01%,239.35%
,ebitda margin growth,7.92%,-2.58%,2.49%,-0.8%
,net income growth,2.63%,-3.41%,17%,11%
,revenue growth,14.59%,14.85%,18%,18%
,roce,9.8%,3.38%,-44.19%,20.96%
,roe,2.62%,-15.03%,15.25%,-49.13%
