Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,69.58%,53.23%,341.9%
,ebitda margin growth,15.2%,6.13%,31.11%,-0.52%
,net income growth,20.27%,38.21%,9%,1%
,revenue growth,6.91%,13.77%,5%,11%
,roce,19.75%,15.63%,63.92%,13%
,roe,20.29%,24.29%,8.68%,-19.25%
