Item,Dec 2023,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,84.38%,36.78%,36.78%,36.78%,36.78%,36.78%,34.59%,34.59%,32.97%
FIIs,0%,4.18%,2.1%,2.89%,4.48%,3.24%,4.08%,3.99%,4.11%
DIIs,0%,5.16%,4.54%,2.93%,2.87%,6.78%,7.28%,7.02%,12.16%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,0%,9.84%,12.43%,14.99%,18.23%,25.25%,29.74%,31.02%,28.75%
Others,15.62%,44.04%,44.14%,42.4%,37.64%,27.94%,24.31%,23.38%,22.02%
No. of Shareholders,47,1425350,1569440,1672130,1672490,1937920,1991260,1953660,1974230
