Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-113.77%,-141.04%,-113.28%
,ebitda margin growth,6.98%,-10.86%,3.16%,2.06%
,net income growth,13.74%,6.51%,35%,89%
,revenue growth,-20.1%,11.21%,18%,24%
,roce,10.5%,-22.61%,-17.45%,9.93%
,roe,13.76%,-16.26%,10.8%,-528%
