Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,104.42%,111.92%,114.1%
,ebitda margin growth,131.15%,-70.81%,-81.49%,-89.13%
,net income growth,49%,-36.33%,12%,50.31%
,revenue growth,3.78%,65.85%,27%,115%
,roce,—,-82.71%,-88.72%,-71.99%
,roe,—,-87.8%,-126.33%,-86.88%
