Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-49.48%,10.7%,42.23%
,ebitda margin growth,8.77%,1.1%,4.6%,-3.41%
,net income growth,-48.66%,72.8%,19%,12%
,revenue growth,15.49%,7.73%,23%,21%
,roce,10.3%,23.39%,37.29%,14.96%
,roe,-48.65%,45.15%,13.46%,-21.86%
